Address,Square Footage (sq.ft),City,Price ($),Distance from downtown (Miles)
1194 Oak St,2309,Fairview,557100,18.24
1581 Elm St,2613,Brookfield,488700,10.84
6109 Walnut Ave,3633,Springfield,918632,3.38
5317 Pine Ave,2661,Springfield,898904,24.06
8216 Main St,1805,Oakville,796447,29.85
1636 Oak St,2933,Brookfield,428467,16.86
6423 Maple Dr,1156,Rivertown,362342,3.38
3307 Cedar Ln,3189,Oakville,339888,9.69
2988 Main St,3631,Brookfield,527102,27.57
3823 Elm St,3996,Maplewood,192279,2.18
6595 Cedar Ln,4349,Lakeside,212901,12.89
2558 Main St,2955,Rivertown,704261,14.79
6765 Pine Ave,865,Oakville,227759,12.02
6617 Maple Dr,3903,Rivertown,353736,19.7
2802 Maple Dr,2851,Brookfield,320341,29.58
4369 Birch Rd,3463,Rivertown,101081,9.07
2452 Maple Dr,2048,Springfield,476603,15.92
1809 Walnut Ave,3135,Lakeside,203424,28.89
9342 Birch Rd,2935,Rivertown,906703,25.05
2283 Birch Rd,2810,Brookfield,474817,1.63
6243 Maple Dr,1485,Cedar Grove,162231,12.87
4793 Cedar Ln,3324,Oakville,196826,17.81
3543 Main St,3955,Maplewood,761314,5.55
6764 Oak St,3421,Maplewood,773795,6.42
4579 Pine Ave,2478,Brookfield,478303,24.82
7054 Walnut Ave,2372,Maplewood,255489,6.32
769 Walnut Ave,4095,Brookfield,164772,12.67
779 Walnut Ave,3418,Fairview,712932,7.03
5919 Cedar Ln,4345,Lakeside,228476,1.57
8020 Maple Dr,2932,Springfield,110169,1.05
7471 Pine Ave,3778,Brookfield,668816,24.84
1087 Main St,946,Brookfield,530747,4.7
980 Oak St,3053,Lakeside,186601,16.46
6582 Maple Dr,3925,Oakville,873982,0.93
7107 Cedar Ln,3548,Brookfield,587761,29.7
918 Main St,3448,Springfield,371754,10.2
2309 Oak St,1490,Lakeside,492562,23.55
8777 Walnut Ave,4147,Oakville,316458,2.79
2195 Oak St,4026,Oakville,354323,16.51
8499 Main St,1900,Rivertown,285160,4.85
4008 Walnut Ave,897,Cedar Grove,887820,29.48
5052 Walnut Ave,1883,Cedar Grove,489147,21.29
4519 Pine Ave,3375,Rivertown,478676,3.95
6372 Birch Rd,4123,Lakeside,402176,21.23
9674 Birch Rd,2415,Maplewood,630689,23.58
5364 Birch Rd,4450,Fairview,169728,26.54
5405 Maple Dr,3757,Rivertown,216995,17.86
6688 Maple Dr,2346,Oakville,236024,22
7368 Birch Rd,4032,Maplewood,732790,24.99
4267 Pine Ave,3704,Cedar Grove,832546,15.81
2001 Elm St,4271,Oakville,668804,9.66
4233 Walnut Ave,3869,Fairview,292014,10.22
9318 Pine Ave,3583,Maplewood,293883,7.05
9375 Cedar Ln,4135,Lakeside,738225,11.51
7446 Oak St,4433,Oakville,657288,18.71
2272 Birch Rd,3446,Brookfield,938156,19.48
9578 Elm St,3865,Lakeside,276736,15.53
9964 Main St,3090,Oakville,128054,10.78
7448 Elm St,3328,Lakeside,802789,26.88
2701 Birch Rd,3132,Cedar Grove,116120,25.13
474 Main St,4115,Oakville,881489,28.68
7000 Pine Ave,2728,Oakville,486969,25.95
2660 Oak St,4405,Fairview,847065,23.42
5629 Pine Ave,4237,Brookfield,945293,18.72
2692 Cedar Ln,2384,Rivertown,256389,24.53
676 Elm St,2789,Springfield,888300,7.53
9497 Birch Rd,3780,Fairview,283515,9.23
9674 Maple Dr,2263,Springfield,819097,14.9
8587 Walnut Ave,3342,Fairview,459392,24.81
3318 Maple Dr,3661,Brookfield,825614,19.42
7305 Main St,2525,Fairview,144098,3.39
6614 Birch Rd,1137,Brookfield,378668,8.25
4197 Cedar Ln,1827,Cedar Grove,583295,8.86
8699 Main St,4330,Springfield,568502,20.64
1239 Elm St,2205,Cedar Grove,107344,7.24
8502 Cedar Ln,4200,Oakville,792802,13.71
4032 Pine Ave,3242,Brookfield,178981,26.58
104 Cedar Ln,2272,Cedar Grove,120313,24.58
1888 Cedar Ln,2921,Lakeside,921237,11.01
4255 Oak St,3102,Fairview,502215,8.56
8993 Birch Rd,3923,Maplewood,679250,16.34
2835 Elm St,995,Maplewood,625595,18.82
6972 Maple Dr,2964,Cedar Grove,527136,20.44
7129 Pine Ave,2167,Fairview,160949,9.56
7423 Walnut Ave,3410,Oakville,211611,29.7
6369 Cedar Ln,1387,Brookfield,345152,12.7
4163 Birch Rd,1210,Oakville,670555,23.54
4247 Pine Ave,2742,Maplewood,195969,22.76
1427 Walnut Ave,2631,Oakville,362145,14.42
5512 Elm St,3052,Rivertown,909563,16.53
2488 Oak St,3159,Oakville,108493,25.5
5051 Walnut Ave,4467,Oakville,450634,6.23
851 Cedar Ln,2476,Maplewood,368237,23.09
7797 Maple Dr,1147,Lakeside,175797,18.07
9369 Oak St,1368,Oakville,843866,18.7
5603 Maple Dr,1940,Maplewood,249230,21.54
724 Main St,4424,Fairview,343489,8.9
2138 Cedar Ln,3304,Lakeside,285934,9.85
8995 Birch Rd,2044,Brookfield,414246,12.66
5891 Main St,4244,Cedar Grove,113388,29.94
